league,year,over,ball,runs_off_bat,extras,wicket_type,expected_bowling_economy,expected_batting_strike_rate,expected_bowling_average,expected_batting_average,expected_bowling_strike_rate
IPL_T20,2013,19,770,1210,43,68,9.76363636363636,157.142857142857,18.4264705882353,17.7941176470588,11.3235294117647
IPL_T20,2013,20,659,1174,63,93,11.2625189681335,178.14871016692,13.3010752688172,12.6236559139785,7.08602150537634
IPL_T20,2014,1,720,701,73,18,6.45,97.3611111111111,43.0,38.9444444444444,40.0
IPL_T20,2014,2,720,699,63,26,6.35,97.0833333333333,29.3076923076923,26.8846153846154,27.6923076923077
IPL_T20,2014,3,720,858,63,37,7.675,119.166666666667,24.8918918918919,23.1891891891892,19.4594594594595
IPL_T20,2014,4,720,959,43,23,8.35,133.194444444444,43.5652173913044,41.695652173913,31.304347826087
IPL_T20,2014,5,716,895,69,29,8.07821229050279,125.0,33.2413793103448,30.8620689655172,24.6896551724138
IPL_T20,2014,6,714,939,63,30,8.42016806722689,131.512605042017,33.4,31.3,23.8
IPL_T20,2014,7,714,784,48,32,6.99159663865546,109.803921568627,26.0,24.5,22.3125
IPL_T20,2014,8,714,759,62,22,6.89915966386555,106.302521008403,37.3181818181818,34.5,32.4545454545455
IPL_T20,2014,9,714,796,34,27,6.97478991596639,111.484593837535,30.7407407407407,29.4814814814815,26.4444444444444
IPL_T20,2014,10,714,818,43,28,7.23529411764706,114.565826330532,30.75,29.2142857142857,25.5
IPL_T20,2014,11,714,967,32,22,8.39495798319328,135.434173669468,45.4090909090909,43.9545454545455,32.4545454545455
IPL_T20,2014,12,714,969,21,29,8.31932773109244,135.714285714286,34.1379310344828,33.4137931034483,24.6206896551724
IPL_T20,2014,13,714,970,29,30,8.39495798319328,135.854341736695,33.3,32.3333333333333,23.8
IPL_T20,2014,14,707,888,34,31,7.82461103253182,125.601131541726,29.741935483871,28.6451612903226,22.8064516129032
IPL_T20,2014,15,696,977,31,38,8.68965517241379,140.373563218391,26.5263157894737,25.7105263157895,18.3157894736842
IPL_T20,2014,16,682,1008,48,40,9.29032258064516,147.800586510264,26.4,25.2,17.05
IPL_T20,2014,17,676,986,64,40,9.31952662721893,145.85798816568,26.25,24.65,16.9
IPL_T20,2014,18,655,1076,34,45,10.1679389312977,164.274809160305,24.6666666666667,23.9111111111111,14.5555555555556
IPL_T20,2014,19,606,975,70,64,10.3465346534653,160.891089108911,16.328125,15.234375,9.46875
IPL_T20,2014,20,503,898,63,61,11.4632206759443,178.528827037773,15.7540983606557,14.7213114754098,8.24590163934426
IPL_T20,2015,1,702,607,84,23,5.90598290598291,86.4672364672365,30.0434782608696,26.3913043478261,30.5217391304348
IPL_T20,2015,2,697,798,76,14,7.52367288378766,114.490674318508,62.4285714285714,57.0,49.7857142857143
IPL_T20,2015,3,696,965,53,26,8.77586206896552,138.649425287356,39.1538461538462,37.1153846153846,26.7692307692308
IPL_T20,2015,4,696,952,49,24,8.62931034482759,136.781609195402,41.7083333333333,39.6666666666667,29.0
IPL_T20,2015,5,696,893,30,46,7.95689655172414,128.304597701149,20.0652173913043,19.4130434782609,15.1304347826087
IPL_T20,2015,6,695,852,48,38,7.76978417266187,122.589928057554,23.6842105263158,22.4210526315789,18.2894736842105
IPL_T20,2015,7,690,752,62,22,7.07826086956522,108.985507246377,37.0,34.1818181818182,31.3636363636364
IPL_T20,2015,8,690,765,35,24,6.95652173913043,110.869565217391,33.3333333333333,31.875,28.75
IPL_T20,2015,9,690,834,46,34,7.65217391304348,120.869565217391,25.8823529411765,24.5294117647059,20.2941176470588
IPL_T20,2015,10,688,853,39,28,7.77906976744186,123.982558139535,31.8571428571429,30.4642857142857,24.5714285714286
IPL_T20,2015,11,663,804,27,29,7.52036199095023,121.266968325792,28.6551724137931,27.7241379310345,22.8620689655172
IPL_T20,2015,12,654,875,28,27,8.28440366972477,133.792048929664,33.4444444444444,32.4074074074074,24.2222222222222
IPL_T20,2015,13,648,841,29,23,8.05555555555556,129.783950617284,37.8260869565217,36.5652173913044,28.1739130434783
IPL_T20,2015,14,644,891,45,35,8.72049689440994,138.354037267081,26.7428571428571,25.4571428571429,18.4
IPL_T20,2015,15,630,874,34,40,8.64761904761905,138.730158730159,22.7,21.85,15.75
IPL_T20,2015,16,630,997,38,30,9.85714285714286,158.253968253968,34.5,33.2333333333333,21.0
IPL_T20,2015,17,620,1052,56,45,10.7225806451613,169.677419354839,24.6222222222222,23.3777777777778,13.7777777777778
IPL_T20,2015,18,601,957,54,51,10.0931780366057,159.234608985025,19.8235294117647,18.7647058823529,11.7843137254902
IPL_T20,2015,19,578,977,43,61,10.5882352941176,169.031141868512,16.7213114754098,16.016393442623,9.47540983606557
IPL_T20,2015,20,533,870,47,67,10.3227016885553,163.227016885553,13.6865671641791,12.9850746268657,7.95522388059702
IPL_T20,2016,1,720,643,62,22,5.875,89.3055555555556,32.0454545454545,29.2272727272727,32.7272727272727
IPL_T20,2016,2,720,784,55,33,6.99166666666667,108.888888888889,25.4242424242424,23.7575757575758,21.8181818181818
IPL_T20,2016,3,720,915,38,23,7.94166666666667,127.083333333333,41.4347826086957,39.7826086956522,31.304347826087
IPL_T20,2016,4,720,1033,48,38,9.00833333333333,143.472222222222,28.4473684210526,27.1842105263158,18.9473684210526
IPL_T20,2016,5,720,954,40,24,8.28333333333333,132.5,41.4166666666667,39.75,30.0
IPL_T20,2016,6,714,915,51,20,8.11764705882353,128.151260504202,48.3,45.75,35.7
IPL_T20,2016,7,714,765,55,17,6.89075630252101,107.142857142857,48.2352941176471,45.0,42.0
IPL_T20,2016,8,714,845,33,24,7.3781512605042,118.347338935574,36.5833333333333,35.2083333333333,29.75
IPL_T20,2016,9,714,890,44,27,7.84873949579832,124.649859943978,34.5925925925926,32.962962962963,26.4444444444444
IPL_T20,2016,10,714,865,49,33,7.68067226890756,121.148459383754,27.6969696969697,26.2121212121212,21.6363636363636
IPL_T20,2016,11,714,827,29,35,7.19327731092437,115.826330532213,24.4571428571429,23.6285714285714,20.4
IPL_T20,2016,12,702,893,32,29,7.90598290598291,127.207977207977,31.8965517241379,30.7931034482759,24.2068965517241
IPL_T20,2016,13,702,872,29,27,7.7008547008547,124.216524216524,33.3703703703704,32.2962962962963,26.0
IPL_T20,2016,14,696,961,38,34,8.61206896551724,138.074712643678,29.3823529411765,28.2647058823529,20.4705882352941
IPL_T20,2016,15,676,1049,36,27,9.6301775147929,155.177514792899,40.1851851851852,38.8518518518519,25.037037037037
IPL_T20,2016,16,660,990,46,38,9.41818181818182,150.0,27.2631578947368,26.0526315789474,17.3684210526316
IPL_T20,2016,17,657,1006,59,42,9.72602739726027,153.120243531202,25.3571428571429,23.952380952381,15.6428571428571
IPL_T20,2016,18,628,1070,66,48,10.8535031847134,170.382165605096,23.6666666666667,22.2916666666667,13.0833333333333
IPL_T20,2016,19,544,877,57,52,10.3014705882353,161.213235294118,17.9615384615385,16.8653846153846,10.4615384615385
IPL_T20,2016,20,469,808,33,73,10.7590618336887,172.28144989339,11.5205479452055,11.0684931506849,6.42465753424658
IPL_T20,2017,1,708,712,59,28,6.53389830508475,100.564971751412,27.5357142857143,25.4285714285714,25.2857142857143
IPL_T20,2017,2,708,852,69,30,7.80508474576271,120.338983050847,30.7,28.4,23.6
IPL_T20,2017,3,708,1043,47,25,9.23728813559322,147.316384180791,43.6,41.72,28.32
IPL_T20,2017,4,708,951,53,26,8.50847457627119,134.322033898305,38.6153846153846,36.5769230769231,27.2307692307692
IPL_T20,2017,5,708,966,36,36,8.49152542372881,136.440677966102,27.8333333333333,26.8333333333333,19.6666666666667
IPL_T20,2017,6,704,1056,51,37,9.43465909090909,150.0,29.9189189189189,28.5405405405405,19.027027027027
IPL_T20,2017,7,702,767,27,23,6.78632478632479,109.259259259259,34.5217391304348,33.3478260869565,30.5217391304348
IPL_T20,2017,8,701,790,25,25,6.97574893009986,112.696148359486,32.6,31.6,28.04
IPL_T20,2017,9,696,882,40,29,7.94827586206897,126.724137931034,31.7931034482759,30.4137931034483,24.0
IPL_T20,2017,10,694,840,39,36,7.59942363112392,121.037463976945,24.4166666666667,23.3333333333333,19.2777777777778
IPL_T20,2017,11,690,870,30,20,7.82608695652174,126.086956521739,45.0,43.5,34.5
